#,Player,Team,Goals,Games Played,Average,7m Goals

1.,Marin Sinčić,Umag,109,14 (14),7.79,20
2.,Nedjeljko Jurković,Rovinj,86,13 (12),6.62,40
3.,Raul Valković,Buzet,82,13 (13),6.31,1
4.,Tomislav Bošnjak,Umag,79,14 (14),5.64,5
5.,Dario Černeka,Zamet,78,14 (14),5.57,34
6.,Ivan Čirjak,Zadar 1954,78,14 (14),5.57,28
7.,Petar Galić,Split,78,14 (14),5.57,38
8.,Antonio Tomaš,Kozala,74,7 (7),10.57,16
9.,Petar Grbac,Arena-Pula,72,14 (14),5.14,23
10.,Marko Pikec,Zamet,70,14 (14),5.00,0
11.,Tiziano Merhar,Zadar 1954,70,14 (14),5.00,0
12.,Sandro Samardžić,Buzet,66,13 (13),5.08,3
13.,Branimir Dodig,Split,64,14 (14),4.57,0
14.,Tin Tomljanović,Zamet,62,10 (10),6.20,5
15.,Gabriel Rajič,Kozala,61,14 (14),4.36,6
16.,Dominik Krajcar,Arena-Pula,60,11 (11),5.45,7
17.,Zlatko Gvozdanović,Dubovac-Gaza,60,14 (14),4.29,14
18.,Lovro Jaman,Arena-Pula  / Dubovac-Gaza,58,13 (13),4.46,0
19.,Marin Duran,Split,56,14 (14),4.00,0
20.,Luka Kordić,Dubovac-Gaza,56,11 (10),5.09,9
21.,Tony Zarev,Rovinj,56,14 (14),4.00,8
22.,Teo Putica,Ardiaei,56,14 (14),4.00,0
23.,Paolo Bašica,Ardiaei,55,14 (13),3.93,16
24.,Arian Bašić,Buzet,53,14 (14),3.79,14
25.,Matija Perkov,Zamet,51,14 (14),3.64,0
26.,Alessio Benussi,Rovinj,51,14 (14),3.64,1
27.,Roko Metličić,BM 07,51,12 (12),4.25,13
28.,Lovre Korljan,Zadar 1954,49,13 (11),3.77,2
29.,Jure Smoljo,Split,49,13 (13),3.77,4
30.,Dino Horozović,Umag,45,14 (12),3.21,12
31.,Lorenzo Nežić,Buzet,45,13 (13),3.46,4
32.,Hrvoje Jakelić,Hrvatski dragovoljac,44,11 (11),4.00,0
33.,Tomislav Mihelić,Kozala,44,14 (13),3.14,4
34.,Tomislav Karaula,Buzet,44,14 (14),3.14,0
35.,Marko Ćosić,Umag,44,13 (13),3.38,0
36.,Josip Zebić,Hrvatski dragovoljac,41,11 (11),3.73,2
37.,Leo Brnin,Ardiaei,40,14 (13),2.86,1
38.,Franko Krstić,Zamet,37,14 (14),2.64,0
39.,Marino Knez,Ardiaei,37,14 (13),2.64,0
40.,Ivan Poparić,Split,37,12 (12),3.08,0
41.,Anton Kalebić,Split,36,13 (12),2.77,0
42.,Igor Šegota,Buzet,35,13 (12),2.69,0
43.,Luka Pavić,BM 07,35,12 (11),2.92,4
44.,Leon Goldner,Zadar 1954,35,14 (13),2.50,0
45.,Rade Simetić,Arena-Pula,35,13 (12),2.69,2
46.,Žan Radečić,Umag,34,12 (12),2.83,0
47.,Teo Popović,Rovinj,34,14 (13),2.43,0
48.,Petar Bazdan,Ardiaei,34,12 (11),2.83,1
49.,Josip Krišto,BM 07,34,11 (9),3.09,1
50.,Josip Maršan,Zadar 1954,34,13 (11),2.62,0
