Home Team,Away Team,Winner,Predicted Winner,Correct
BM 07,Hrvatski dragovoljac,A,A,1
Umag,Rovinj,H,H,1
Buzet,Dubovac-Gaza,H,H,1
Split,Zadar 1954,A,A,1
Ardiaei,Arena-Pula,H,H,1
Kozala,Zamet,A,A,1
Arena-Pula,BM 07,H,H,1
Kozala,Umag,A,A,1
Hrvatski dragovoljac,Split,H,H,1
Rovinj,Buzet,H,H,1
Zamet,Zadar 1954,H,H,1
Dubovac-Gaza,Ardiaei,D,H,0
Split,Arena-Pula,A,H,0
BM 07,Dubovac-Gaza,A,A,1
Ardiaei,Rovinj,H,D,0
Umag,Zamet,D,D,1
Zadar 1954,Hrvatski dragovoljac,A,H,0
Buzet,Kozala,H,H,1
Zamet,Hrvatski dragovoljac,H,H,1
Kozala,Ardiaei,H,A,0
Arena-Pula,Zadar 1954,A,A,1
Umag,Buzet,A,H,0
Rovinj,BM 07,H,H,1
Dubovac-Gaza,Split,H,H,1
BM 07,Kozala,A,A,1
Split,Rovinj,A,A,1
Hrvatski dragovoljac,Arena-Pula,H,H,1
Ardiaei,Umag,A,A,1
Buzet,Zamet,A,A,1
Zadar 1954,Dubovac-Gaza,H,H,1
Kozala,Split,D,H,0
Buzet,Ardiaei,H,H,1
Rovinj,Zadar 1954,A,H,0
Umag,BM 07,H,H,1
Zamet,Arena-Pula,H,H,1
Dubovac-Gaza,Hrvatski dragovoljac,H,H,1
Hrvatski dragovoljac,Rovinj,A,A,1
Split,Umag,H,A,0
Arena-Pula,Dubovac-Gaza,A,A,1
Zadar 1954,Kozala,H,H,1
Ardiaei,Zamet,H,A,0
BM 07,Buzet,A,A,1
Kozala,Hrvatski dragovoljac,H,H,1
Ardiaei,BM 07,H,H,1
Zamet,Dubovac-Gaza,H,H,1
Rovinj,Arena-Pula,H,H,1
Umag,Zadar 1954,H,H,1
Buzet,Split,A,H,0
BM 07,Zamet,A,A,1
Kozala,Arena-Pula,H,H,1
Rovinj,Dubovac-Gaza,H,H,1
Buzet,Zadar 1954,H,H,1
Ardiaei,Split,A,H,0
Umag,Hrvatski dragovoljac,H,H,1
Zamet,Rovinj,H,H,1
Hrvatski dragovoljac,Buzet,A,A,1
Arena-Pula,Umag,A,A,1
Zadar 1954,Ardiaei,H,H,1
Dubovac-Gaza,Kozala,H,H,1
Split,BM 07,H,H,1
Kozala,Rovinj,D,A,0
BM 07,Zadar 1954,D,A,0
Split,Zamet,A,A,1
Buzet,Arena-Pula,H,H,1
Umag,Dubovac-Gaza,H,H,1
Ardiaei,Hrvatski dragovoljac,H,H,1
Arena-Pula,Ardiaei,A,A,1
Rovinj,Umag,A,A,1
Zadar 1954,Split,H,H,1
Zamet,Kozala,H,H,1
Dubovac-Gaza,Buzet,A,D,0
Hrvatski dragovoljac,BM 07,H,H,1
Split,Hrvatski dragovoljac,D,A,0
Umag,Kozala,H,H,1
BM 07,Arena-Pula,D,A,0
Zadar 1954,Zamet,D,A,0
Buzet,Rovinj,H,H,1
Ardiaei,Dubovac-Gaza,H,H,1
Zamet,Umag,H,H,1
Arena-Pula,Split,A,A,1
Kozala,Buzet,A,A,1
Hrvatski dragovoljac,Zadar 1954,A,A,1
Rovinj,Ardiaei,H,H,1
Dubovac-Gaza,BM 07,H,H,1
BM 07,Rovinj,A,A,1
Buzet,Umag,A,A,1
Split,Dubovac-Gaza,A,A,1
Hrvatski dragovoljac,Zamet,A,A,1
Ardiaei,Kozala,H,H,1
Zadar 1954,Arena-Pula,H,H,1
Arena-Pula,Hrvatski dragovoljac,A,A,1
Rovinj,Split,H,H,1
Umag,Ardiaei,H,H,1
Kozala,BM 07,A,H,0
Zamet,Buzet,H,H,1
Dubovac-Gaza,Zadar 1954,H,D,0
Split,Kozala,H,A,0
BM 07,Umag,A,A,1
Ardiaei,Buzet,H,D,0
Hrvatski dragovoljac,Dubovac-Gaza,A,A,1
Arena-Pula,Zamet,A,A,1
Zadar 1954,Rovinj,H,H,1
Kozala,Zadar 1954,A,A,1
Dubovac-Gaza,Arena-Pula,H,H,1
Zamet,Ardiaei,H,H,1
Rovinj,Hrvatski dragovoljac,H,H,1
Umag,Split,H,H,1
Buzet,BM 07,H,H,1
Split,Buzet,A,A,1
BM 07,Ardiaei,A,A,1
Hrvatski dragovoljac,Kozala,H,H,1
Arena-Pula,Rovinj,A,A,1
Zadar 1954,Umag,H,A,0
Dubovac-Gaza,Zamet,A,A,1
